Var1,Var2,Var3,Var4,Var5,Var6
0,31.9652099609375,36.0099487304688,169.075866699219,72.6256103515625,96.4502563476562
0.5,33.0653686523438,36.0237426757812,171.515563964844,69.1243896484375,102.391174316406
1,34.6722412109375,36.4661865234375,172.266723632812,65.453125,106.813598632812
0.25,33.0051879882812,37.2449340820312,171.382263183594,73.8453369140625,97.5369262695312
0.5,33.7116088867188,37.3529052734375,172.205200195312,72.4293212890625,99.77587890625
0.75,34.6956176757812,36.434326171875,171.944152832031,70.2633056640625,101.680847167969
0,33.1246337890625,37.1073608398438,171.154907226562,78.6355590820312,92.5193481445312
0.25,35.0184326171875,37.6810913085938,173.057312011719,77.2810668945312,95.7762451171875
0.5,31.1871948242188,40.6690063476562,172.717041015625,73.6972045898438,99.0198364257812
0.75,30.1133422851562,43.46533203125,172.347717285156,71.7171020507812,100.630615234375
1,29.9586791992188,46.9615478515625,172.770568847656,69.4689331054688,103.301635742188
0.25,36.0559692382812,37.6151123046875,172.083862304688,80.4193115234375,91.66455078125
0.5,31.6754760742188,41.0667724609375,171.569946289062,75.7784423828125,95.79150390625
0.75,35.6846313476562,37.7188720703125,173.062377929688,74.3992919921875,98.6630859375
0,35.6737060546875,36.8564453125,171.199035644531,82.9912109375,88.2078247070312
0.5,36.822021484375,37.8374633789062,172.250427246094,77.496337890625,94.7540893554688
1,36.7393798828125,38.4282836914062,173.047790527344,71.5647583007812,101.483032226562
