Var1,Var2,Var3,Var4,Var5,Var6,Var7,Var8,Var9
0,11.4382934570312,12.4598541259766,14.4630279541016,14.510986328125,112.981094360352,108.250122070312,4.37879943847656,5.58164978027344
0,10.5373382568359,12.5348510742188,14.5657958984375,14.5594482421875,116.845062255859,110.687164306641,4.91059875488281,5.05450439453125
0,10.6037139892578,11.5501861572266,15.7025146484375,15.67919921875,119.241546630859,113.959747314453,5.50218200683594,5.22412109375
0.25,10.5368347167969,12.5768432617188,16.6573486328125,15.7005615234375,122.656616210938,117.915557861328,4.92190551757812,5.9481201171875
0.25,11.5503540039062,12.5398559570312,15.6326904296875,15.6336669921875,122.039428710938,116.994232177734,4.44595336914062,5.47030639648438
0.25,11.5710906982422,12.57421875,15.7540893554688,15.7970581054688,122.741149902344,117.593872070312,5.26080322265625,5.39999389648438
0.5,13.6109161376953,14.6417236328125,15.7385864257812,15.7524719238281,124.218811035156,119.2216796875,4.920166015625,6.04278564453125
0.5,13.7952117919922,13.6728820800781,14.985107421875,15.8887939453125,124.135375976562,119.885681152344,5.14083862304688,6.35589599609375
0.5,13.8108367919922,13.5727844238281,14.9100646972656,15.7994689941406,125.150115966797,120.186340332031,5.00885009765625,6.60861206054688
0.5,13.7462158203125,13.5010070800781,14.4992065429688,15.4333190917969,126.357116699219,120.583709716797,4.30349731445312,6.91439819335938
0.5,13.1729431152344,13.0104064941406,14.6680908203125,15.2724609375,126.570434570312,120.571411132812,3.73583984375,6.74435424804688
0.75,14.8292694091797,16.9458312988281,16.013916015625,14.6890258789062,129.471221923828,122.039733886719,5.08688354492188,5.66885375976562
0.75,14.8978881835938,17.0016784667969,16.0411071777344,14.7569580078125,130.042816162109,122.514038085938,5.16278076171875,5.84515380859375
0.75,15.8583831787109,16.7454528808594,12.7475891113281,14.6627807617188,128.678253173828,122.684112548828,5.42404174804688,6.550537109375
1,24.4361267089844,19.1143798828125,13.828857421875,12.6802368164062,131.20654296875,124.994812011719,5.9437255859375,6.1337890625
1,23.8475189208984,19.8537750244141,13.635986328125,14.650634765625,131.156280517578,125.327758789062,5.49569702148438,5.563720703125
1,23.7765197753906,19.6889343261719,12.5643920898438,13.5307312011719,130.993255615234,125.015411376953,6.56674194335938,6.59207153320312
