Var1,Var2,Var3,Var4,Var5,Var6
0,34.1109619140625,36.2247314453125,172.384155273438,77.9046020507812,94.4795532226562
0.5,33.9198608398438,36.5995483398438,173.150756835938,72.7940673828125,100.356689453125
1,34.6220703125,36.8482666015625,173.275146484375,67.086669921875,106.1884765625
0.25,34.1802368164062,37.5869140625,174.224792480469,76.1053466796875,98.1194458007812
0.5,34.31005859375,38.0720825195312,174.08203125,74.0726318359375,100.009399414062
0.75,33.395263671875,36.3619995117188,172.881408691406,71.4450073242188,101.436401367188
0,33.9004516601562,35.4290161132812,173.079406738281,80.0115966796875,93.0678100585938
0.25,29.993896484375,38.7337036132812,172.790771484375,75.1904907226562,97.6002807617188
0.5,33.3153686523438,36.47314453125,173.8837890625,73.6810302734375,100.202758789062
0.75,34.7760009765625,37.3392944335938,174.205444335938,72.282470703125,101.922973632812
1,34.3723754882812,37.2449340820312,173.704895019531,69.3507690429688,104.354125976562
0.25,34.8289184570312,36.4507446289062,173.057495117188,77.35888671875,95.6986083984375
0.5,30.7761840820312,39.8154907226562,172.138793945312,72.0674438476562,100.071350097656
0.75,34.772216796875,37.5679931640625,174.095520019531,71.3134155273438,102.782104492188
0,34.66357421875,36.5357666015625,173.938354492188,80.5037841796875,93.4345703125
0.5,35.849609375,37.6381225585938,173.2353515625,73.738037109375,99.497314453125
1,34.559814453125,36.8436279296875,173.010681152344,68.4599609375,104.550720214844
