Var1,Var2,Var3,Var4,Var5,Var6
0,33.6075439453125,36.5135498046875,173.150268554688,76.66796875,96.4822998046875
0.5,34.0050048828125,36.55908203125,172.180053710938,71.1328125,101.047241210938
1,34.5972290039062,36.7014770507812,172.271301269531,66.9246826171875,105.346618652344
0.25,34.66650390625,37.7785034179688,174.114318847656,75.3976440429688,98.7166748046875
0.5,31.062255859375,40.6807250976562,173.652282714844,71.5768432617188,102.075439453125
0.75,29.8191528320312,44.018310546875,173.256469726562,68.0906372070312,105.165832519531
0,33.8607177734375,36.6613159179688,173.228210449219,78.2424926757812,94.9857177734375
0.25,29.9715576171875,40.2743530273438,172.731323242188,73.6405029296875,99.0908203125
0.5,35.6436767578125,37.5709228515625,173.074096679688,72.662841796875,100.411254882812
0.75,35.6076049804688,37.4790649414062,174.015808105469,70.0767822265625,103.939025878906
1,33.5986328125,37.7659912109375,173.264221191406,67.132080078125,106.132141113281
0.25,35.108154296875,37.4452514648438,172.217163085938,75.99267578125,96.2244873046875
0.5,31.3441772460938,40.8616333007812,171.810302734375,71.6866455078125,100.123657226562
0.75,34.5660400390625,37.5885620117188,173.970092773438,70.3582153320312,103.611877441406
0,35.1054077148438,36.5979614257812,173.25146484375,79.939453125,93.31201171875
0.5,36.4368286132812,37.5535278320312,172.808837890625,73.1115112304688,99.6973266601562
1,35.8239135742188,37.158935546875,173.363891601562,67.3600463867188,106.003845214844
