Var1,Var2,Var3,Var4,Var5,Var6,Var7,Var8,Var9
0,10.6648559570312,12.5693664550781,12.7472534179688,14.5770568847656,118.149780273438,114.272796630859,5.23806762695312,5.33712768554688
0,9.78366088867188,10.5845947265625,14.011962890625,15.8544006347656,121.386383056641,116.639068603516,4.18841552734375,5.27789306640625
0,10.7718505859375,10.7037048339844,14.0653686523438,15.0556640625,122.896514892578,117.738342285156,4.14794921875,4.99990844726562
0.25,22.9671325683594,12.6802978515625,14.8087768554688,15.8748474121094,124.412658691406,119.480865478516,4.78717041015625,5.82217407226562
0.25,23.1343994140625,12.6971740722656,14.9523620605469,15.9497680664062,124.706573486328,119.565002441406,4.7005615234375,5.9952392578125
0.25,22.9088745117188,12.5694580078125,14.9163513183594,15.7406311035156,125.348602294922,119.877288818359,4.03131103515625,6.06124877929688
0.5,23.0583190917969,14.8147583007812,15.0875549316406,14.9241027832031,127.413726806641,122.089050292969,5.107177734375,5.23590087890625
0.5,23.1961669921875,14.9930114746094,15.1513671875,15.037841796875,126.746307373047,121.436920166016,5.39578247070312,5.66189575195312
0.5,22.7130432128906,15.5895690917969,14.7615966796875,15.71240234375,127.441436767578,122.123443603516,5.3045654296875,6.44509887695312
0.5,22.7470397949219,16.7151184082031,14.6608581542969,14.6498107910156,127.396667480469,121.488250732422,5.9410400390625,5.90679931640625
0.5,12.6727905273438,14.6311340332031,12.7596130371094,13.7398986816406,128.258636474609,122.494537353516,5.38427734375,5.32742309570312
0.75,22.7904815673828,14.8981018066406,14.015380859375,21.1533508300781,129.616607666016,124.293395996094,5.13336181640625,5.3829345703125
0.75,23.0713195800781,15.0138244628906,14.3106384277344,21.5474548339844,130.042572021484,124.367340087891,4.82083129882812,5.51376342773438
0.75,18.629150390625,15.5690307617188,13.5899658203125,25.5304565429688,129.443511962891,123.628021240234,5.0880126953125,6.09124755859375
1,16.0611267089844,17.1175231933594,14.0330200195312,13.7285461425781,131.934051513672,126.315032958984,5.21658325195312,5.70138549804688
1,24.861083984375,24.8207397460938,12.4883422851562,13.53515625,130.423187255859,125.3642578125,5.59103393554688,6.55514526367188
1,24.7882843017578,19.3778991699219,11.8271789550781,12.8308715820312,131.347290039062,125.515228271484,5.65036010742188,5.60678100585938
